Record: Gambia, The (GMB), indicator=Maternal_Mortality_Ratio
Gambia, The observed maternal_mortality_year2000=810 per 100,000 live births.
Gambia, The observed maternal_mortality_year2001=794 per 100,000 live births.
Gambia, The observed maternal_mortality_year2002=772 per 100,000 live births.
Gambia, The observed maternal_mortality_year2003=749 per 100,000 live births.
Gambia, The observed maternal_mortality_year2004=719 per 100,000 live births.
Gambia, The observed maternal_mortality_year2005=707 per 100,000 live births.
Gambia, The observed maternal_mortality_year2006=682 per 100,000 live births.
Gambia, The observed maternal_mortality_year2007=675 per 100,000 live births.
Gambia, The observed maternal_mortality_year2008=653 per 100,000 live births.
Gambia, The observed maternal_mortality_year2009=634 per 100,000 live births.
Gambia, The observed maternal_mortality_year2010=632 per 100,000 live births.
Gambia, The observed maternal_mortality_year2011=634 per 100,000 live births.
Gambia, The observed maternal_mortality_year2012=628 per 100,000 live births.
Gambia, The observed maternal_mortality_year2013=606 per 100,000 live births.
Gambia, The observed maternal_mortality_year2014=561 per 100,000 live births.
Gambia, The observed maternal_mortality_year2015=527 per 100,000 live births.
Gambia, The observed maternal_mortality_year2016=490 per 100,000 live births.
Gambia, The observed maternal_mortality_year2017=469 per 100,000 live births.
Gambia, The observed maternal_mortality_year2018=450 per 100,000 live births.
Gambia, The observed maternal_mortality_year2019=422 per 100,000 live births.
Gambia, The observed maternal_mortality_year2020=400 per 100,000 live births.
Gambia, The observed maternal_mortality_year2021=420 per 100,000 live births.
