Record: Nepal (NPL), indicator=Maternal_Mortality_Ratio
Nepal observed maternal_mortality_year2000=480 per 100,000 live births.
Nepal observed maternal_mortality_year2001=443 per 100,000 live births.
Nepal observed maternal_mortality_year2002=414 per 100,000 live births.
Nepal observed maternal_mortality_year2003=387 per 100,000 live births.
Nepal observed maternal_mortality_year2004=364 per 100,000 live births.
Nepal observed maternal_mortality_year2005=344 per 100,000 live births.
Nepal observed maternal_mortality_year2006=318 per 100,000 live births.
Nepal observed maternal_mortality_year2007=309 per 100,000 live births.
Nepal observed maternal_mortality_year2008=302 per 100,000 live births.
Nepal observed maternal_mortality_year2009=299 per 100,000 live births.
Nepal observed maternal_mortality_year2010=297 per 100,000 live births.
Nepal observed maternal_mortality_year2011=286 per 100,000 live births.
Nepal observed maternal_mortality_year2012=272 per 100,000 live births.
Nepal observed maternal_mortality_year2013=258 per 100,000 live births.
Nepal observed maternal_mortality_year2014=245 per 100,000 live births.
Nepal observed maternal_mortality_year2015=236 per 100,000 live births.
Nepal observed maternal_mortality_year2016=214 per 100,000 live births.
Nepal observed maternal_mortality_year2017=197 per 100,000 live births.
Nepal observed maternal_mortality_year2018=183 per 100,000 live births.
Nepal observed maternal_mortality_year2019=170 per 100,000 live births.
Nepal observed maternal_mortality_year2020=153 per 100,000 live births.
Nepal observed maternal_mortality_year2021=173 per 100,000 live births.
