Record: Mongolia (MNG), indicator=Maternal_Mortality_Ratio
Mongolia observed maternal_mortality_year2000=144 per 100,000 live births.
Mongolia observed maternal_mortality_year2001=130 per 100,000 live births.
Mongolia observed maternal_mortality_year2002=120 per 100,000 live births.
Mongolia observed maternal_mortality_year2003=114 per 100,000 live births.
Mongolia observed maternal_mortality_year2004=108 per 100,000 live births.
Mongolia observed maternal_mortality_year2005=99 per 100,000 live births.
Mongolia observed maternal_mortality_year2006=90 per 100,000 live births.
Mongolia observed maternal_mortality_year2007=81 per 100,000 live births.
Mongolia observed maternal_mortality_year2008=77 per 100,000 live births.
Mongolia observed maternal_mortality_year2009=75 per 100,000 live births.
Mongolia observed maternal_mortality_year2010=71 per 100,000 live births.
Mongolia observed maternal_mortality_year2011=67 per 100,000 live births.
Mongolia observed maternal_mortality_year2012=63 per 100,000 live births.
Mongolia observed maternal_mortality_year2013=59 per 100,000 live births.
Mongolia observed maternal_mortality_year2014=56 per 100,000 live births.
Mongolia observed maternal_mortality_year2015=52 per 100,000 live births.
Mongolia observed maternal_mortality_year2016=48 per 100,000 live births.
Mongolia observed maternal_mortality_year2017=45 per 100,000 live births.
Mongolia observed maternal_mortality_year2018=45 per 100,000 live births.
Mongolia observed maternal_mortality_year2019=45 per 100,000 live births.
Mongolia observed maternal_mortality_year2020=47 per 100,000 live births.
Mongolia observed maternal_mortality_year2021=63 per 100,000 live births.
