Record: North Macedonia (MKD), indicator=Total_Population
North Macedonia observed population_year2000=2026350 persons.
North Macedonia observed population_year2001=2034882 persons.
North Macedonia observed population_year2002=2020157 persons.
North Macedonia observed population_year2003=2022725 persons.
North Macedonia observed population_year2004=2016186 persons.
North Macedonia observed population_year2005=2005330 persons.
North Macedonia observed population_year2006=1994287 persons.
North Macedonia observed population_year2007=1982933 persons.
North Macedonia observed population_year2008=1971493 persons.
North Macedonia observed population_year2009=1958782 persons.
North Macedonia observed population_year2010=1946298 persons.
North Macedonia observed population_year2011=1937398 persons.
North Macedonia observed population_year2012=1929821 persons.
North Macedonia observed population_year2013=1922716 persons.
North Macedonia observed population_year2014=1917557 persons.
North Macedonia observed population_year2015=1912430 persons.
North Macedonia observed population_year2016=1906313 persons.
North Macedonia observed population_year2017=1898657 persons.
North Macedonia observed population_year2018=1889051 persons.
North Macedonia observed population_year2019=1876262 persons.
North Macedonia observed population_year2020=1856124 persons.
North Macedonia observed population_year2021=1837114 persons.
North Macedonia observed population_year2022=1831712 persons.
North Macedonia observed population_year2023=1827816 persons.
