Record: New Caledonia (NCL), indicator=Total_Population
New Caledonia observed population_year2000=223098 persons.
New Caledonia observed population_year2001=227707 persons.
New Caledonia observed population_year2002=232236 persons.
New Caledonia observed population_year2003=236678 persons.
New Caledonia observed population_year2004=240852 persons.
New Caledonia observed population_year2005=244381 persons.
New Caledonia observed population_year2006=247547 persons.
New Caledonia observed population_year2007=250725 persons.
New Caledonia observed population_year2008=253825 persons.
New Caledonia observed population_year2009=257250 persons.
New Caledonia observed population_year2010=261582 persons.
New Caledonia observed population_year2011=266543 persons.
New Caledonia observed population_year2012=271633 persons.
New Caledonia observed population_year2013=276822 persons.
New Caledonia observed population_year2014=281224 persons.
New Caledonia observed population_year2015=283168 persons.
New Caledonia observed population_year2016=283423 persons.
New Caledonia observed population_year2017=283546 persons.
New Caledonia observed population_year2018=283541 persons.
New Caledonia observed population_year2019=283606 persons.
New Caledonia observed population_year2020=284176 persons.
New Caledonia observed population_year2021=285214 persons.
New Caledonia observed population_year2022=287123 persons.
New Caledonia observed population_year2023=289870 persons.
